Points,Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
37,15,0.526,16,1,2,5,3
-12.5,17,0.526,22,1,2,5,3
19,33,0.526,36,1,2,5,1
94.25,5,0.526,2,1,2,5,3
20,14,0.526,4,1,2,5,1
7,27,0.526,28,1,2,5,3
32.5,32,0.526,26,1,2,5,1
24,20,0.526,30,1,2,5,1
18,22,1.5,17,3,3,2,1
5,16,1.5,29,1,3,2,1
-8,12,1.5,7,2,3,2,3
9,17,1.5,15,1,3,2,1
-11,11,1.5,5,2,3,2,3
48.5,20,1.5,19,1,3,2,1
32,18,1.5,11,1,3,2,1
35,3,1.5,14,1,3,2,3
40,34,1.5,32,1,3,2,1
1,14,1.5,20,1,3,2,2
43,15,1.5,18,1,3,2,1
27,29,1.5,33,1,3,2,3
-9,5,1.5,8,2,3,2,2
80.5,21,1.5,23,1,3,2,2
36,32,1.5,35,1,3,2,2
36,36,1.5,43,1,3,2,1
62.5,24,1.5,13,1,3,2,1
-14,9,1.5,21,2,3,2,1
39,7,1.5,10,1,3,2,3
39,28,1.5,24,1,3,2,1
104.75,2,1.5,1,1,3,2,3
55,1,1.5,12,1,3,2,3
117,8,1.5,9,1,3,2,2
-11.5,10,1.5,6,2,3,2,1
37,35,1.5,44,1,3,2,1
-23,6,1.5,3,2,3,2,2
42,30,1.5,31,1,3,2,3
43,27,1.5,25,1,3,2,3
3,19,1.5,16,2,3,2,3
19,37,1.5,42,3,3,2,1
23.5,26,1.5,22,3,3,2,3
39,31,1.5,36,1,3,2,1
43.5,4,1.5,2,1,3,2,3
15,25,1.5,4,2,3,2,1
35.5,13,1.5,28,1,3,2,3
41.5,23,1.5,26,1,3,2,1
57.75,33,1.5,30,1,3,2,1
29,18,0.533,17,1,2,5,1
50.5,8,0.533,29,1,2,5,1
52.5,19,0.533,7,1,2,5,3
37,21,0.533,15,1,2,5,1
31.25,3,0.533,5,1,2,5,3
16,38,0.533,49,2,2,5,2
3.5,16,0.533,19,1,2,5,1
-5.5,22,0.533,11,2,2,5,1
45,14,0.533,14,1,2,5,3
28,34,0.533,39,1,2,5,1
25,35,0.533,40,1,2,5,2
35.25,12,0.533,20,1,2,5,2
34.5,20,0.533,18,1,2,5,1
43,23,0.533,33,1,2,5,3
48,25,0.533,8,1,2,5,2
7.5,13,0.533,23,1,2,5,2
10,28,0.533,35,1,2,5,2
7,37,0.533,43,2,2,5,1
37,31,0.533,13,1,2,5,1
68,17,0.533,21,1,2,5,1
38.25,10,0.533,10,1,2,5,3
-9,15,0.533,24,3,2,5,1
79.5,39,0.533,1,1,2,5,3
6.5,2,0.533,12,1,2,5,3
104.25,1,0.533,9,1,2,5,2
150.5,6,0.533,6,1,2,5,1
33,29,0.533,44,1,2,5,1
10,26,0.533,3,2,2,5,2
26,24,0.533,31,1,2,5,3
-23,9,0.533,25,2,2,5,3
26,7,0.533,16,1,2,5,3
16,36,0.533,42,2,2,5,1
55,4,0.533,22,1,2,5,3
-7,27,0.533,36,2,2,5,1
15.5,5,0.533,2,2,2,5,3
57,30,0.533,4,1,2,5,1
29.5,33,0.533,28,1,2,5,3
20,32,0.533,26,1,2,5,1
21,11,0.533,30,1,2,5,1
24,33,0.75,17,1,1,5,1
23,11,0.75,29,1,1,5,1
45.5,25,0.75,7,1,1,5,3
37.5,23,0.75,15,1,1,5,1
59.5,28,0.75,5,1,1,5,3
42.5,2,0.75,19,1,1,5,1
13,19,0.75,11,1,1,5,1
62.25,16,0.75,14,1,1,5,3
19.5,35,0.75,32,1,1,5,1
2,22,0.75,46,1,1,5,1
51,26,0.75,20,1,1,5,2
12,18,0.75,18,1,1,5,1
-7,15,0.75,33,1,1,5,3
51.5,4,0.75,8,1,1,5,2
25.5,7,0.75,23,1,1,5,2
8,34,0.75,35,1,1,5,2
10,38,0.75,43,1,1,5,1
21,8,0.75,13,1,1,5,1
49.5,17,0.75,21,1,1,5,1
67.5,3,0.75,10,1,1,5,3
26.5,29,0.75,24,1,1,5,1
60,10,0.75,1,1,1,5,3
66.5,6,0.75,12,1,1,5,3
102.5,32,0.75,9,1,1,5,2
36.5,5,0.75,6,1,1,5,1
17,36,0.75,44,1,1,5,1
61.25,1,0.75,3,1,1,5,2
39,27,0.75,31,1,1,5,3
16,24,0.75,25,1,1,5,3
19.5,20,0.75,16,1,1,5,3
5.5,37,0.75,42,3,1,5,1
29.5,12,0.75,22,1,1,5,3
18,30,0.75,36,1,1,5,1
13,13,0.75,2,1,1,5,3
-15.5,14,0.75,4,2,1,5,1
32.5,21,0.75,28,1,1,5,3
35,31,0.75,26,1,1,5,1
30.5,9,0.75,30,1,1,5,1
30,28,1,17,1,2,2,1
33.5,15,1,29,1,2,2,1
38,13,1,7,1,2,2,3
29,27,1,15,1,2,2,1
81,8,1,5,1,2,2,3
28,6,1,19,1,2,2,1
20,16,1,11,1,2,2,1
75,12,1,14,1,2,2,3
9,37,1,48,2,2,2,1
6,38,1,39,3,2,2,1
46.5,7,1,20,1,2,2,2
22,26,1,18,1,2,2,1
24.5,32,1,33,1,2,2,3
41,10,1,8,1,2,2,2
6,36,1,47,2,2,2,1
21.5,11,1,23,1,2,2,2
19,35,1,35,1,2,2,2
36,23,1,13,1,2,2,1
48.5,19,1,21,1,2,2,1
36.75,18,1,10,1,2,2,3
35,25,1,24,1,2,2,1
153.75,2,1,1,1,2,2,3
48.5,9,1,12,1,2,2,3
-11,4,1,9,3,2,2,2
31.5,1,1,6,1,2,2,1
15,33,1,44,1,2,2,1
49.5,3,1,3,1,2,2,2
16,24,1,31,1,2,2,3
29,29,1,25,1,2,2,3
-4,20,1,16,1,2,2,3
14,34,1,42,1,2,2,1
27.5,5,1,22,1,2,2,3
19,31,1,36,1,2,2,1
42.5,14,1,2,1,2,2,3
2.5,21,1,4,1,2,2,1
28,22,1,28,1,2,2,3
26,30,1,26,1,2,2,1
33,17,1,30,1,2,2,1
30,18,1.5,17,1,5,2,1
27,19,1.5,29,1,5,2,1
30,4,1.5,7,1,5,2,3
36.5,25,1.5,15,1,5,2,1
26,5,1.5,5,1,5,2,3
37,17,1.5,19,1,5,2,1
-14,10,1.5,11,2,5,2,1
47,33,1.5,14,1,5,2,3
23,27,1.5,39,1,5,2,1
3.5,14,1.5,20,1,5,2,2
20,21,1.5,18,1,5,2,1
38,20,1.5,33,1,5,2,3
44,6,1.5,8,1,5,2,2
43.5,12,1.5,23,1,5,2,2
15,29,1.5,35,1,5,2,2
6,24,1.5,13,2,5,2,1
32,23,1.5,21,1,5,2,1
50,9,1.5,10,1,5,2,3
36.5,34,1.5,24,1,5,2,1
101.25,1,1.5,1,1,5,2,3
36,8,1.5,12,1,5,2,3
36,3,1.5,9,1,5,2,2
107.25,22,1.5,6,1,5,2,1
25,31,1.5,44,1,5,2,1
54.75,7,1.5,3,1,5,2,2
37.5,37,1.5,31,1,5,2,3
7,35,1.5,50,2,5,2,3
41.5,36,1.5,25,1,5,2,3
44.5,11,1.5,16,1,5,2,3
20,30,1.5,42,1,5,2,1
40.5,16,1.5,22,1,5,2,3
20,28,1.5,36,1,5,2,1
5.5,2,1.5,2,2,5,2,3
-1,15,1.5,4,2,5,2,1
18,38,1.5,41,1,5,2,2
-6,26,1.5,26,2,5,2,1
-8,13,1.5,30,2,5,2,1
31,30,1.5,17,1,3,2,1
53.5,27,1.5,29,1,3,2,1
28,9,1.5,7,1,3,2,3
-9.5,12,1.5,15,1,3,2,1
16,38,1.5,51,1,3,2,1
45,5,1.5,5,1,3,2,3
36.5,24,1.5,18,1,3,2,1
44.5,22,1.5,19,1,3,2,1
5,18,1.5,11,1,3,2,1
48.5,28,1.5,14,1,3,2,3
27,33,1.5,39,1,3,2,1
32,10,1.5,20,1,3,2,2
13,19,1.5,33,1,3,2,3
59.25,3,1.5,8,1,3,2,2
21.5,4,1.5,23,1,3,2,2
16,34,1.5,35,1,3,2,2
40,7,1.5,13,1,3,2,1
21.5,37,1.5,34,1,3,2,1
60,23,1.5,21,1,3,2,1
8,40,1.5,45,3,3,2,1
7,2,1.5,10,1,3,2,3
35,26,1.5,24,1,3,2,1
5.5,39,1.5,1,2,3,2,3
44,16,1.5,12,1,3,2,3
209.75,1,1.5,9,1,3,2,2
51.5,11,1.5,6,1,3,2,1
24.5,35,1.5,44,1,3,2,1
73,15,1.5,3,1,3,2,2
1.5,31,1.5,31,3,3,2,3
27,17,1.5,50,1,3,2,3
38.5,29,1.5,25,1,3,2,3
22,32,1.5,52,1,3,2,2
30,14,1.5,16,1,3,2,3
38,13,1.5,22,1,3,2,3
21,25,1.5,36,1,3,2,1
-19.5,8,1.5,2,3,3,2,3
-20,6,1.5,4,1,3,2,1
16,36,1.5,41,1,3,2,2
22,20,1.5,26,1,3,2,1
-13,21,1.5,30,2,3,2,1
24,24,2.5,17,1,5,1,1
4.5,14,2.5,29,1,5,1,1
65,34,2.5,7,1,5,1,3
32,12,2.5,15,1,5,1,1
63,17,2.5,5,1,5,1,3
37.5,11,2.5,19,1,5,1,1
37,27,2.5,11,1,5,1,1
15,9,2.5,14,1,5,1,3
19,35,2.5,32,1,5,1,1
15.5,18,2.5,20,1,5,1,2
-12,19,2.5,18,3,5,1,1
33,21,2.5,33,1,5,1,3
-14.5,10,2.5,8,2,5,1,2
14,38,2.5,47,1,5,1,1
11,25,2.5,23,1,5,1,2
14,36,2.5,35,1,5,1,2
17.5,3,2.5,13,1,5,1,1
43.5,15,2.5,21,1,5,1,1
17,37,2.5,45,1,5,1,1
34,7,2.5,10,1,5,1,3
-6,22,2.5,24,3,5,1,1
77.75,2,2.5,1,1,5,1,3
12.5,6,2.5,12,1,5,1,3
54.75,5,2.5,9,1,5,1,2
53,13,2.5,6,1,5,1,1
15,33,2.5,18,1,5,1,1
72.75,4,2.5,3,1,5,1,2
2,32,2.5,31,3,5,1,3
44,26,2.5,50,1,5,1,3
32,30,2.5,25,1,5,1,3
42,20,2.5,16,1,5,1,3
39,23,2.5,22,1,5,1,3
19,31,2.5,36,1,5,1,1
39.25,1,2.5,2,1,5,1,3
2,8,2.5,4,1,5,1,1
27,29,2.5,26,1,5,1,1
24,16,2.5,30,1,5,1,1
35,25,2,17,1,1,2,1
33,21,2,29,1,1,2,1
29,6,2,7,1,1,2,3
32,16,2,15,1,1,2,1
5,35,2,51,1,1,2,1
39,2,2,5,1,1,2,3
34,28,2,18,1,1,2,1
40,13,2,19,1,1,2,1
14,18,2,11,1,1,2,1
64,12,2,14,1,1,2,3
22,32,2,39,1,1,2,1
13,37,2,40,1,1,2,1
6,22,2,20,1,1,2,2
-5,27,2,33,2,1,2,3
30.5,10,2,8,1,1,2,2
22,8,2,23,1,1,2,2
5,39,2,53,3,1,2,1
16,34,2,35,1,1,2,2
48,24,2,13,1,1,2,1
24,20,2,21,1,1,2,1
36,5,2,10,1,1,2,3
29.75,29,2,24,1,1,2,1
68.75,4,2,1,1,1,2,3
57,1,2,12,1,1,2,3
40,3,2,9,1,1,2,2
15.25,26,2,6,1,1,2,1
16,36,2,44,1,1,2,1
26,17,2,3,1,1,2,2
2,30,2,31,1,1,2,3
-3,19,2,50,1,1,2,3
17,23,2,25,1,1,2,3
50.25,15,2,16,1,1,2,3
-7,7,2,22,1,1,2,3
25,33,2,36,1,1,2,1
52.75,9,2,2,1,1,2,3
11,11,2,4,1,1,2,1
12,38,2,41,1,1,2,2
33,31,2,26,1,1,2,1
32,14,2,30,1,1,2,1
15,19,1.5,17,1,5,2,1
39,15,1.5,29,1,5,2,1
39.5,6,1.5,7,1,5,2,3
-10.25,14,1.5,15,3,5,2,1
43,7,1.5,5,1,5,2,3
20,22,1.5,18,1,5,2,1
10,3,1.5,19,1,5,2,1
39,39,1.5,11,1,5,2,1
53.75,5,1.5,14,1,5,2,3
8,32,1.5,39,1,5,2,1
32,10,1.5,20,1,5,2,2
-8,23,1.5,33,1,5,2,3
68,37,1.5,8,1,5,2,2
42.5,9,1.5,23,1,5,2,2
11,29,1.5,35,1,5,2,2
33,13,1.5,13,1,5,2,1
54.5,38,1.5,21,1,5,2,1
40,12,1.5,10,1,5,2,3
14,24,1.5,24,1,5,2,1
76.75,11,1.5,1,1,5,2,3
21.5,4,1.5,12,1,5,2,3
83.25,16,1.5,9,1,5,2,2
84.25,18,1.5,6,1,5,2,1
8,30,1.5,54,1,5,2,1
3,31,1.5,44,1,5,2,1
80,36,1.5,3,1,5,2,2
14,28,1.5,31,1,5,2,3
30,26,1.5,25,1,5,2,3
19.5,1,1.5,16,1,5,2,3
14,34,1.5,42,1,5,2,1
34.5,20,1.5,22,1,5,2,3
11,27,1.5,36,1,5,2,1
21.25,2,1.5,2,1,5,2,3
32.75,17,1.5,4,1,5,2,1
1,35,1.5,41,3,5,2,2
14,21,1.5,28,1,5,2,3
13.5,25,1.5,26,1,5,2,1
12,8,1.5,30,1,5,2,1
10,26,1.5,17,1,5,2,1
-16,15,1.5,29,2,5,2,1
44,12,1.5,7,1,5,2,3
15,13,1.5,15,1,5,2,1
14,34,1.5,51,1,5,2,1
58,4,1.5,5,1,5,2,3
15,25,1.5,18,1,5,2,1
34,16,1.5,19,1,5,2,1
21,20,1.5,11,1,5,2,1
30,8,1.5,14,1,5,2,3
13,31,1.5,39,1,5,2,1
27,11,1.5,20,1,5,2,2
32,24,1.5,33,1,5,2,3
51,36,1.5,8,1,5,2,2
35,2,1.5,23,1,5,2,2
34,22,1.5,13,1,5,2,1
12,38,1.5,55,1,5,2,1
44,27,1.5,21,1,5,2,1
45,19,1.5,10,1,5,2,3
23,29,1.5,24,1,5,2,1
48,3,1.5,1,1,5,2,3
59,9,1.5,12,1,5,2,3
52,5,1.5,9,1,5,2,2
56,18,1.5,6,1,5,2,1
11,33,1.5,44,1,5,2,1
122,1,1.5,3,1,5,2,2
7,37,1.5,31,3,5,2,3
20,23,1.5,25,1,5,2,3
28,6,1.5,16,1,5,2,3
10,14,1.5,22,1,5,2,3
18,30,1.5,36,1,5,2,1
59,7,1.5,2,1,5,2,3
14,10,1.5,4,1,5,2,1
15,39,1.5,41,1,5,2,2
16,28,1.5,26,1,5,2,1
25,21,1.5,30,1,5,2,1
-12,16,1.058,17,2,2,1,1
30,8,1.058,29,1,2,1,1
82,13,1.058,7,1,2,1,3
24,17,1.058,15,1,2,1,1
12,36,1.058,51,1,2,1,1
15,37,1.058,56,1,2,1,2
-13,6,1.058,5,1,2,1,3
23,27,1.058,18,1,2,1,1
58,10,1.058,19,1,2,1,1
28,24,1.058,11,1,2,1,1
-10,15,1.058,14,2,2,1,3
23,33,1.058,39,1,2,1,1
10,9,1.058,20,1,2,1,2
16,30,1.058,33,1,2,1,3
25,4,1.058,8,1,2,1,2
20,7,1.058,23,1,2,1,2
30,22,1.058,13,1,2,1,1
48,21,1.058,21,1,2,1,1
45,19,1.058,10,1,2,1,3
35,26,1.058,24,1,2,1,1
81,14,1.058,1,1,2,1,3
82,1,1.058,12,1,2,1,3
66,3,1.058,9,1,2,1,2
41,20,1.058,6,1,2,1,1
4,34,1.058,44,2,2,1,1
74,2,1.058,3,1,2,1,2
16,28,1.058,31,1,2,1,3
21,29,1.058,25,1,2,1,3
22,12,1.058,16,1,2,1,3
10,23,1.058,22,1,2,1,3
26,32,1.058,36,1,2,1,1
41,5,1.058,2,1,2,1,3
50,18,1.058,4,1,2,1,1
23,25,1.058,26,1,2,1,1
27,11,1.058,30,1,2,1,1
30,14,2.5,17,1,5,1,1
49,10,2.5,29,1,5,1,1
29,34,2.5,7,1,5,1,3
55,37,2.5,15,1,5,1,1
-10,26,2.5,51,3,5,1,1
-25,4,2.5,5,2,5,1,3
17,39,2.5,18,2,5,1,1
43,6,2.5,19,1,5,1,1
-18,12,2.5,11,3,5,1,1
55,31,2.5,14,1,5,1,3
-13,21,2.5,39,2,5,1,1
54,1,2.5,20,1,5,1,2
22,16,2.5,33,1,5,1,3
31,2,2.5,8,1,5,1,2
43,3,2.5,23,1,5,1,2
9,5,2.5,13,1,5,1,1
46,35,2.5,21,1,5,1,1
8,20,2.5,45,1,5,1,2
22,30,2.5,10,1,5,1,3
24,40,2.5,24,1,5,1,1
89,29,2.5,1,1,5,1,3
43,7,2.5,12,1,5,1,3
102,28,2.5,9,1,5,1,2
31,32,2.5,6,1,5,1,1
0,24,2.5,44,1,5,1,1
24,8,2.5,3,1,5,1,2
8,18,2.5,31,1,5,1,3
25,13,2.5,25,1,5,1,3
38,36,2.5,16,1,5,1,3
17,17,2.5,22,1,5,1,3
-4,22,2.5,36,1,5,1,1
53,33,2.5,2,1,5,1,3
37,9,2.5,4,1,5,1,1
-1,27,2.5,41,1,5,1,2
11,15,2.5,26,1,5,1,1
73,38,2.5,30,1,5,1,1
25,25,2,17,1,1,2,1
16,10,2,29,1,1,2,1
41.5,11,2,7,1,1,2,3
44.75,5,2,15,1,1,2,1
15,33,2,51,1,1,2,3
23,39,2,56,1,1,2,2
63,18,2,5,1,1,2,3
20,22,2,18,1,1,2,1
48,21,2,19,1,1,2,1
27,23,2,11,1,1,2,1
37.5,16,2,14,1,1,2,3
-4,32,2,39,3,1,2,1
62,40,2,20,1,1,2,2
14,24,2,33,1,1,2,3
33.75,1,2,8,1,1,2,2
23,4,2,23,1,1,2,2
16,36,2,53,1,1,2,1
12,34,2,35,1,1,2,1
17.25,15,2,13,1,1,2,1
4,38,2,34,3,1,2,2
11.25,19,2,21,1,1,2,1
33.25,9,2,10,1,1,2,3
20.5,28,2,24,1,1,2,1
107.5,3,2,1,1,1,2,3
44.5,12,2,12,1,1,2,3
63,2,2,9,1,1,2,2
30.5,17,2,6,1,1,2,1
17,31,2,44,1,1,2,1
34.25,7,2,3,1,1,2,2
26,30,2,31,1,1,2,3
23,29,2,25,1,1,2,3
26.5,14,2,16,1,1,2,3
21.5,13,2,22,1,1,2,3
9,35,2,36,3,1,2,1
45.5,8,2,2,1,1,2,3
23,6,2,4,1,1,2,1
7,37,2,41,3,1,2,1
2,26,2,28,3,1,2,3
-5,27,2,26,2,1,2,1
-8,20,2,30,1,1,2,1
-9,25,0.533,17,2,2,5,1
56,22,0.533,29,1,2,5,1
3,8,0.533,7,1,2,5,3
36.5,18,0.533,15,1,2,5,1
30,40,0.533,56,1,2,5,2
25,11,0.533,5,1,2,5,3
-5,27,0.533,18,2,2,5,1
90.5,2,0.533,19,1,2,5,1
35.5,28,0.533,11,1,2,5,1
96,16,0.533,14,1,2,5,3
6.5,30,0.533,39,3,2,5,1
38.5,21,0.533,20,1,2,5,2
25,15,0.533,33,1,2,5,3
23.5,7,0.533,8,1,2,5,2
60,14,0.533,23,1,2,5,2
2,38,0.533,35,2,2,5,1
6,20,0.533,13,1,2,5,1
7,33,0.533,55,2,2,5,2
45,13,0.533,21,1,2,5,1
14,34,0.533,45,2,2,5,1
88.25,19,0.533,10,1,2,5,3
40.5,26,0.533,24,1,2,5,1
55,6,0.533,1,1,2,5,3
74.5,9,0.533,12,1,2,5,3
30.5,3,0.533,9,1,2,5,2
57.25,1,0.533,6,1,2,5,1
33,39,0.533,44,1,2,5,1
7.5,17,0.533,3,2,2,5,2
29,29,0.533,31,1,2,5,3
1,31,0.533,25,2,2,5,3
-23.5,4,0.533,16,2,2,5,3
23.5,12,0.533,22,1,2,5,3
27,35,0.533,36,1,2,5,1
85.25,10,0.533,2,1,2,5,3
44.75,24,0.533,4,1,2,5,1
25,37,0.533,41,1,2,5,2
47.5,23,0.533,28,1,2,5,3
34,32,0.533,26,1,2,5,1
3,5,0.533,30,1,2,5,1
24.5,24,1.366,17,1,2,2,1
21,4,1.366,29,1,2,2,1
31,12,1.366,7,1,2,2,3
31.5,18,1.366,15,1,2,2,1
17,37,1.366,51,1,2,2,1
72.5,13,1.366,5,1,2,2,3
20,27,1.366,18,1,2,2,1
53,11,1.366,19,1,2,2,1
37.5,19,1.366,11,1,2,2,1
-0.5,17,1.366,14,2,2,2,3
24.5,34,1.366,39,1,2,2,1
4,16,1.366,20,1,2,2,2
31,23,1.366,33,1,2,2,3
32.25,1,1.366,8,1,2,2,2
16,38,1.366,47,1,2,2,1
55,7,1.366,23,1,2,2,2
58.5,31,1.366,13,1,2,2,1
16,40,1.366,34,1,2,2,2
-7.5,20,1.366,21,3,2,2,1
14,32,1.366,45,1,2,2,1
3,39,1.366,37,2,2,2,2
59,8,1.366,10,1,2,2,3
25.5,29,1.366,24,1,2,2,1
65,22,1.366,1,1,2,2,3
46.5,9,1.366,12,1,2,2,3
37,5,1.366,9,1,2,2,2
148.5,2,1.366,6,1,2,2,1
19,35,1.366,44,1,2,2,1
42.5,3,1.366,3,1,2,2,2
-2,30,1.366,31,3,2,2,3
9.5,15,1.366,50,1,2,2,3
30,26,1.366,25,1,2,2,3
24,14,1.366,16,1,2,2,3
46,25,1.366,22,1,2,2,3
21.5,33,1.366,36,1,2,2,1
36,21,1.366,2,1,2,2,3
13,6,1.366,4,1,2,2,1
6,36,1.366,41,3,2,2,2
31.5,28,1.366,26,1,2,2,1
-15,10,1.366,30,3,2,2,1
-6,24,2.5,17,2,2,1,1
-7,15,2.5,29,1,2,1,1
12,12,2.5,7,1,2,1,3
18,18,2.5,15,1,2,1,1
24,40,2.5,51,1,2,1,3
54.75,6,2.5,5,1,2,1,3
-4,28,2.5,18,2,2,1,1
25,11,2.5,19,1,2,1,1
17,23,2.5,11,1,2,1,1
58.75,8,2.5,14,1,2,1,3
23,33,2.5,39,1,2,1,1
28,20,2.5,20,1,2,1,2
