Points,Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
21,25,2.5,33,1,2,1,3
67.25,10,2.5,8,1,2,1,2
55.5,13,2.5,23,1,2,1,2
52,21,2.5,13,1,2,1,1
17,37,2.5,34,2,2,1,2
26,14,2.5,21,1,2,1,1
21,35,2.5,45,1,2,1,2
23,5,2.5,10,1,2,1,3
56.5,2,2.5,1,1,2,1,3
46.75,4,2.5,12,1,2,1,3
42.25,1,2.5,9,1,2,1,2
23.5,7,2.5,6,1,2,1,1
16,34,2.5,44,2,2,1,1
-33,3,2.5,3,3,2,1,2
3,31,2.5,31,3,2,1,3
52.25,29,2.5,50,1,2,1,3
36,26,2.5,25,1,2,1,3
46,19,2.5,16,1,2,1,3
26,38,2.5,42,1,2,1,1
-8,16,2.5,22,3,2,1,3
24,32,2.5,36,1,2,1,1
31.75,9,2.5,2,1,2,1,3
41.5,17,2.5,4,1,2,1,1
13,39,2.5,41,3,2,1,2
32,30,2.5,26,1,2,1,1
29.75,22,2.5,30,1,2,1,1
45,29,1.5,17,1,5,2,1
18,9,1.5,29,1,5,2,1
50,16,1.5,7,1,5,2,3
40,18,1.5,15,1,5,2,1
26,38,1.5,51,1,5,2,3
94.75,13,1.5,5,1,5,2,3
-1,31,1.5,18,3,5,2,1
-18.5,7,1.5,19,2,5,2,1
42,28,1.5,11,1,5,2,1
13.5,15,1.5,14,1,5,2,3
44,32,1.5,39,1,5,2,1
47,19,1.5,20,1,5,2,2
17,27,1.5,33,1,5,2,3
-16.75,3,1.5,8,2,5,2,2
-34,1,1.5,23,2,5,2,2
-11.25,12,1.5,13,2,5,2,1
29,35,1.5,34,1,5,2,2
18.5,17,1.5,21,1,5,2,1
46,36,1.5,45,1,5,2,2
56,2,1.5,10,1,5,2,3
-20.5,5,1.5,1,2,5,2,3
10.5,8,1.5,12,1,5,2,3
36.25,4,1.5,9,1,5,2,2
71,11,1.5,6,1,5,2,1
25,33,1.5,54,1,5,2,1
45,37,1.5,44,1,5,2,1
110.5,10,1.5,3,1,5,2,2
22,26,1.5,31,1,5,2,3
10,24,1.5,25,2,5,2,3
44,20,1.5,16,1,5,2,3
22,40,1.5,42,1,5,2,1
-1.5,14,1.5,22,2,5,2,3
38,34,1.5,36,1,5,2,1
40.5,6,1.5,2,1,5,2,3
49,22,1.5,4,1,5,2,1
17,39,1.5,41,1,5,2,2
41,23,1.5,28,1,5,2,3
6,30,1.5,26,2,5,2,1
-7,21,1.5,30,2,5,2,1
15.5,28,0.75,17,1,1,5,1
35.75,13,0.75,29,1,1,5,1
45.75,6,0.75,7,1,1,5,3
60,26,0.75,15,1,1,5,1
65.25,7,0.75,5,1,1,5,3
17,25,0.75,18,1,1,5,1
72,18,0.75,19,1,1,5,1
6,22,0.75,11,1,1,5,1
57.5,24,0.75,14,1,1,5,3
2.5,10,0.75,27,1,1,5,3
11,31,0.75,39,1,1,5,1
51,38,0.75,20,1,1,5,2
39.5,40,0.75,33,1,1,5,3
25,2,0.75,8,1,1,5,2
30.5,8,0.75,23,1,1,5,2
17,14,0.75,13,1,1,5,1
2,32,0.75,34,1,1,5,2
56,21,0.75,21,1,1,5,1
9,35,0.75,37,1,1,5,1
30.5,12,0.75,10,1,1,5,3
68,1,0.75,1,1,1,5,3
18,5,0.75,12,1,1,5,3
96.5,11,0.75,9,1,1,5,2
40,9,0.75,6,1,1,5,1
11,36,0.75,44,1,1,5,1
105.25,3,0.75,3,1,1,5,2
3,27,0.75,31,1,1,5,3
12,17,0.75,50,1,1,5,3
19,23,0.75,25,1,1,5,3
37.5,20,0.75,16,1,1,5,3
43,15,0.75,22,1,1,5,3
13.5,30,0.75,36,1,1,5,1
15,4,0.75,2,1,1,5,3
32.5,16,0.75,4,1,1,5,1
3,37,0.75,41,1,1,5,2
17,29,0.75,26,1,1,5,1
28,19,0.75,30,1,1,5,1
