Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
10,1.5,6,2,3,2,1
35,1.5,44,1,3,2,1
6,1.5,3,2,3,2,2
30,1.5,31,1,3,2,3
27,1.5,25,1,3,2,3
19,1.5,16,2,3,2,3
37,1.5,42,3,3,2,1
26,1.5,22,3,3,2,3
31,1.5,36,1,3,2,1
4,1.5,2,1,3,2,3
25,1.5,4,2,3,2,1
13,1.5,28,1,3,2,3
23,1.5,26,1,3,2,1
33,1.5,30,1,3,2,1
18,0.533,17,1,2,5,1
8,0.533,29,1,2,5,1
19,0.533,7,1,2,5,3
21,0.533,15,1,2,5,1
3,0.533,5,1,2,5,3
38,0.533,49,2,2,5,2
16,0.533,19,1,2,5,1
22,0.533,11,2,2,5,1
14,0.533,14,1,2,5,3
34,0.533,39,1,2,5,1
35,0.533,40,1,2,5,2
12,0.533,20,1,2,5,2
20,0.533,18,1,2,5,1
23,0.533,33,1,2,5,3
25,0.533,8,1,2,5,2
13,0.533,23,1,2,5,2
28,0.533,35,1,2,5,2
37,0.533,43,2,2,5,1
31,0.533,13,1,2,5,1
17,0.533,21,1,2,5,1
10,0.533,10,1,2,5,3
15,0.533,24,3,2,5,1
39,0.533,1,1,2,5,3
2,0.533,12,1,2,5,3
1,0.533,9,1,2,5,2
6,0.533,6,1,2,5,1
29,0.533,44,1,2,5,1
26,0.533,3,2,2,5,2
24,0.533,31,1,2,5,3
9,0.533,25,2,2,5,3
7,0.533,16,1,2,5,3
36,0.533,42,2,2,5,1
4,0.533,22,1,2,5,3
27,0.533,36,2,2,5,1
5,0.533,2,2,2,5,3
30,0.533,4,1,2,5,1
33,0.533,28,1,2,5,3
32,0.533,26,1,2,5,1
11,0.533,30,1,2,5,1
33,0.75,17,1,1,5,1
11,0.75,29,1,1,5,1
25,0.75,7,1,1,5,3
23,0.75,15,1,1,5,1
28,0.75,5,1,1,5,3
2,0.75,19,1,1,5,1
19,0.75,11,1,1,5,1
16,0.75,14,1,1,5,3
35,0.75,32,1,1,5,1
22,0.75,46,1,1,5,1
26,0.75,20,1,1,5,2
18,0.75,18,1,1,5,1
15,0.75,33,1,1,5,3
4,0.75,8,1,1,5,2
7,0.75,23,1,1,5,2
34,0.75,35,1,1,5,2
38,0.75,43,1,1,5,1
8,0.75,13,1,1,5,1
17,0.75,21,1,1,5,1
3,0.75,10,1,1,5,3
29,0.75,24,1,1,5,1
10,0.75,1,1,1,5,3
6,0.75,12,1,1,5,3
32,0.75,9,1,1,5,2
5,0.75,6,1,1,5,1
36,0.75,44,1,1,5,1
1,0.75,3,1,1,5,2
27,0.75,31,1,1,5,3
24,0.75,25,1,1,5,3
20,0.75,16,1,1,5,3
37,0.75,42,3,1,5,1
12,0.75,22,1,1,5,3
30,0.75,36,1,1,5,1
13,0.75,2,1,1,5,3
14,0.75,4,2,1,5,1
21,0.75,28,1,1,5,3
31,0.75,26,1,1,5,1
9,0.75,30,1,1,5,1
28,1,17,1,2,2,1
