Points
8.5
23
30
41
68
53
18
55.5
20
21.5
-1
28
59.5
32
3
14
19.5
9
13.5
54.25
20.5
132.25
57.5
44.75
37
74.75
12
14
25
19
18
47.5
28.75
-6
22
32
12.5
36.5
53.5
34
47
-15
44.5
19.5
24
22
10.5
28
23.5
32.5
43.5
13
-6
18
38.5
17
49.75
29.5
132.5
-22
66.5
49.5
53
32
-8.25
40
23
19
41.25
47.5
28
27
7.5
22
22.5
52
28
51.5
57
10
62.5
3
16
43
15
16
57.25
38.5
8
1.5
11
33
11
23
92.5
54
111.5
31
40.25
24
11
-14
29
26
24
43.25
25
12
37.75
32
46
47
29
50.5
43
-1
48
25
28
23
15
59.75
34
0
25.25
-5
59
46.75
31.25
-10.5
23
68.5
48.5
111.75
1
14
25
0
25.5
22
42.5
11
13
-17
7
43.25
59.5
52.5
39
-4
42.25
51
20
145.25
40.5
25
36.5
-5
22
74.75
24
6
4
19
34
38.5
25
58.5
41.5
86.5
21
4
52.5
11
26
37
-12.5
19
94.25
20
7
32.5
24
18
5
-8
9
-11
48.5
32
35
40
1
43
27
-9
80.5
36
36
62.5
-14
39
39
104.75
55
117
-11.5
37
-23
42
43
3
19
23.5
39
43.5
15
35.5
41.5
57.75
29
50.5
52.5
37
31.25
16
3.5
-5.5
45
28
25
35.25
34.5
43
48
7.5
10
7
37
68
38.25
-9
79.5
6.5
104.25
150.5
33
10
26
-23
26
16
55
-7
15.5
57
29.5
20
21
24
23
45.5
37.5
59.5
42.5
13
62.25
19.5
2
51
12
-7
51.5
25.5
8
10
21
49.5
67.5
26.5
60
66.5
102.5
36.5
17
61.25
39
16
19.5
5.5
29.5
18
13
-15.5
32.5
35
30.5
30
33.5
38
29
81
28
20
75
9
6
46.5
22
24.5
41
6
21.5
19
36
48.5
36.75
35
153.75
48.5
-11
31.5
15
49.5
16
29
-4
14
27.5
19
42.5
2.5
28
26
33
30
27
30
36.5
26
37
-14
47
23
3.5
20
38
44
43.5
15
6
32
50
36.5
101.25
36
36
107.25
25
54.75
37.5
7
41.5
44.5
20
40.5
20
5.5
-1
18
-6
-8
31
53.5
28
-9.5
16
45
36.5
44.5
5
48.5
27
32
13
59.25
21.5
16
40
21.5
60
8
7
35
5.5
44
209.75
51.5
24.5
73
1.5
27
38.5
22
30
38
21
-19.5
-20
16
22
-13
24
4.5
65
32
63
37.5
37
15
19
15.5
-12
33
-14.5
14
11
14
17.5
43.5
17
34
-6
77.75
12.5
54.75
53
15
72.75
2
44
32
42
39
19
39.25
2
27
24
35
33
29
32
5
39
34
40
14
64
22
13
6
-5
30.5
22
5
16
48
24
36
29.75
68.75
57
40
15.25
16
26
2
-3
17
50.25
-7
25
52.75
11
12
33
32
15
39
39.5
-10.25
43
20
10
39
53.75
8
32
-8
68
42.5
11
33
54.5
40
14
76.75
21.5
83.25
84.25
8
3
80
14
30
19.5
14
34.5
11
21.25
32.75
1
14
13.5
12
10
-16
44
15
14
58
15
34
21
30
13
27
32
51
35
34
12
44
45
23
48
59
52
56
11
122
7
20
28
10
18
59
14
15
16
25
-12
30
82
24
12
15
-13
23
58
28
-10
23
10
16
25
20
30
48
45
35
81
82
66
41
4
74
16
21
22
10
26
41
50
23
27
30
49
29
55
-10
-25
17
43
-18
55
-13
54
22
31
43
9
46
8
22
24
89
43
102
31
0
24
8
25
38
17
-4
53
37
-1
11
73
25
16
41.5
44.75
15
23
63
20
48
27
37.5
-4
62
14
33.75
23
16
12
17.25
4
11.25
33.25
20.5
107.5
44.5
63
30.5
17
34.25
26
23
26.5
21.5
9
45.5
23
7
2
-5
-8
-9
56
3
36.5
30
25
-5
90.5
35.5
96
6.5
38.5
25
23.5
60
2
6
7
45
14
88.25
40.5
55
74.5
30.5
57.25
33
7.5
29
1
-23.5
23.5
27
85.25
44.75
25
47.5
34
3
24.5
21
31
31.5
17
72.5
20
53
37.5
-0.5
24.5
4
31
32.25
16
55
58.5
16
-7.5
14
3
59
25.5
65
46.5
37
148.5
19
42.5
-2
9.5
30
24
46
21.5
36
13
6
31.5
-15
-6
-7
12
18
24
54.75
-4
25
17
58.75
23
28
21
67.25
55.5
52
17
26
21
23
56.5
46.75
42.25
23.5
16
-33
3
52.25
36
46
26
-8
24
31.75
41.5
13
32
29.75
45
18
50
40
26
94.75
-1
-18.5
42
13.5
44
47
17
-16.75
-34
-11.25
29
18.5
46
56
-20.5
10.5
36.25
71
25
45
110.5
22
10
44
22
-1.5
38
40.5
49
17
41
6
-7
15.5
35.75
45.75
60
65.25
17
72
6
57.5
2.5
11
51
39.5
25
30.5
17
2
56
9
30.5
68
18
96.5
40
11
105.25
3
12
19
37.5
43
13.5
15
32.5
3
17
28
